book_id,authors,title,Genres
1,Suzanne Collins,"The Hunger Games (The Hunger Games, #1)",SciFi;Drama
2,"J.K. Rowling, Mary GrandPré","Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",Fantasy;Young-Age
3,Stephenie Meyer,"Twilight (Twilight, #1)",Fantasy
4,Harper Lee,To Kill a Mockingbird,Self-Help;Drama
5,F. Scott Fitzgerald,The Great Gatsby,Drama
6,John Green,The Fault in Our Stars,Romance;Drama
7,J.R.R. Tolkien,The Hobbit,Fantasy
8,J.D. Salinger,The Catcher in the Rye,Classic;Young-Age
9,Dan Brown,"Angels & Demons  (Robert Langdon, #1)",Thriller;Drama
10,Jane Austen,Pride and Prejudice,Drama;Romance
11,Khaled Hosseini,The Kite Runner,Drama;History
12,Veronica Roth,"Divergent (Divergent, #1)",Fantasy;Drama
13,"George Orwell, Erich Fromm, Celâl Üster",1984,Thriller
14,George Orwell,Animal Farm,Drama
15,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",The Diary of a Young Girl,Biography
16,"Stieg Larsson, Reg Keeland","The Girl with the Dragon Tattoo (Millennium, #1)",Crime;Thriller;Drama
17,Suzanne Collins,"Catching Fire (The Hunger Games, #2)",SciFi;Drama
18,"J.K. Rowling, Mary GrandPré, Rufus Beck","Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",Fantasy;Fiction;Young-Age
19,J.R.R. Tolkien,"The Fellowship of the Ring (The Lord of the Rings, #1)",Fantasy
20,Suzanne Collins,"Mockingjay (The Hunger Games, #3)",Fantasy
21,"J.K. Rowling, Mary GrandPré","Harry Potter and the Order of the Phoenix (Harry Potter, #5)",Fantasy
22,Alice Sebold,The Lovely Bones,Psychological;Domestic
23,"J.K. Rowling, Mary GrandPré","Harry Potter and the Chamber of Secrets (Harry Potter, #2)",Fantasy;Young-Age
24,"J.K. Rowling, Mary GrandPré","Harry Potter and the Goblet of Fire (Harry Potter, #4)",Fantasy;Young-Age
25,"J.K. Rowling, Mary GrandPré","Harry Potter and the Deathly Hallows (Harry Potter, #7)",Fantasy;Young-Age
26,Dan Brown,"The Da Vinci Code (Robert Langdon, #2)",Thriller;Drama
27,"J.K. Rowling, Mary GrandPré","Harry Potter and the Half-Blood Prince (Harry Potter, #6)",Fantasy;Young-Age
28,William Golding,Lord of the Flies,Psychological;Young-Age
29,"William Shakespeare, Robert           Jackson",Romeo and Juliet,Romance
30,Gillian Flynn,Gone Girl,Thriller
31,Kathryn Stockett,The Help,History;Fiction
32,John Steinbeck,Of Mice and Men,Drama;Fiction
33,Arthur Golden,Memoirs of a Geisha,Biography
34,E.L. James,"Fifty Shades of Grey (Fifty Shades, #1)",Erotic;Drama
35,"Paulo Coelho, Alan R. Clarke",The Alchemist,Fiction;Fantasy
36,Lois Lowry,"The Giver (The Giver, #1)",Fantasy
37,C.S. Lewis,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",Fantasy
38,Audrey Niffenegger,The Time Traveler's Wife,Romance;SciFi;Fantasy;Domestic
39,George R.R. Martin,"A Game of Thrones (A Song of Ice and Fire, #1)",Fantasy
40,Elizabeth Gilbert,"Eat, Pray, Love",Romance;Drama
41,Rick Riordan,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Fantasy;Thriller
42,Louisa May Alcott,"Little Women (Little Women, #1)",Young-Age;Romance;Drama
43,"Charlotte Brontë, Michael Mason",Jane Eyre,Young-Age;Biography
44,Nicholas Sparks,"The Notebook (The Notebook, #1)",Romance;Drama
45,Yann Martel,Life of Pi,Fantasy;Drama
46,Sara Gruen,Water for Elephants,Romance;Fiction;History
47,Markus Zusak,The Book Thief,Young-Age;History;Fiction
48,Ray Bradbury,Fahrenheit 451,Fantasy;Fiction
49,Stephenie Meyer,"New Moon (Twilight, #2)",Fantasy
50,Shel Silverstein,Where the Sidewalk Ends,Poetry;Kids
51,Cassandra Clare,"City of Bones (The Mortal Instruments, #1)",Fantasy;Kids;Horror
52,Stephenie Meyer,"Eclipse (Twilight, #3)",Fantasy
53,Christopher Paolini,"Eragon (The Inheritance Cycle, #1)",Fantasy
54,Douglas Adams,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Fantasy;Fiction
55,Aldous Huxley,Brave New World,Fantasy;Fiction
56,Stephenie Meyer,"Breaking Dawn (Twilight, #4)",Fantasy
57,Sue Monk Kidd,The Secret Life of Bees,Young-Age;History;Drama
58,"Mark Twain, John Seelye, Guy Cardwell",The Adventures of Huckleberry Finn,History;Young-Age
59,"E.B. White, Garth Williams, Rosemary Wells",Charlotte's Web,Kids;Fiction
60,Mark Haddon,The Curious Incident of the Dog in the Night-Time,Young-Age;Fiction
61,Paula Hawkins,The Girl on the Train,Thriller;Psychological
62,Philip Pullman,"The Golden Compass (His Dark Materials, #1)",Fantasy
63,"Emily Brontë, Richard J. Dunn",Wuthering Heights,Romance;Drama;Fiction
64,Jodi Picoult,My Sister's Keeper,Drama;Domestic
65,Kurt Vonnegut Jr.,Slaughterhouse-Five,Fiction
66,Margaret Mitchell,Gone with the Wind,Romance;History
67,Khaled Hosseini,A Thousand Splendid Suns,Drama;History
68,Stephen Chbosky,The Perks of Being a Wallflower,Fiction;Young-Age
69,Veronica Roth,"Insurgent (Divergent, #2)",Fantasy;Drama
70,Orson Scott Card,"Ender's Game (Ender's Saga, #1)",SciFi
71,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",Frankenstein,Horror;Fiction;SciFi
72,Stephen King,The Shining (The Shining #1),Horror;Classic;Thriller
73,Stephenie Meyer,"The Host (The Host, #1)",Romance;Thriller
74,John Green,Looking for Alaska,Kids;Thriller
75,Helen Fielding,"Bridget Jones's Diary (Bridget Jones, #1)",Comedy;Romance;Drama
76,"Jane Austen, Tony Tanner, Ros Ballaster",Sense and Sensibility,Romance
77,"Louis Sachar, Louis Sachar","Holes (Holes, #1)",Comedy;Drama
78,Lauren Weisberger,"The Devil Wears Prada (The Devil Wears Prada, #1)",Drama;Romance
79,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",The Odyssey,Poetry
80,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",The Little Prince,Classic;Young-Age;Psychological
81,Jeannette Walls,The Glass Castle,Biography
82,Jon Krakauer,Into the Wild,Biography
83,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",A Tale of Two Cities,History;Fiction;Drama
84,Michael Crichton,"Jurassic Park (Jurassic Park, #1)",SciFi;Thriller;Fantasy
85,Shel Silverstein,The Giving Tree,Kids
86,John Grisham,A Time to Kill,Thriller
87,"Elie Wiesel, Marion Wiesel",Night (The Night Trilogy #1),Biography
88,John Green,Paper Towns,Kids;Drama
89,William Goldman,The Princess Bride,Romance;Drama
90,S.E. Hinton,The Outsiders,Young-Age;Fiction
91,James Dashner,"The Maze Runner (Maze Runner, #1)",Young-Age;SciFi
92,"Steven D. Levitt, Stephen J. Dubner","Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",Self-Help;Academic
93,Frances Hodgson Burnett,The Secret Garden,Kids
94,"Gabriel García Márquez, Gregory Rabassa",One Hundred Years of Solitude,Fantasy
95,"Oscar Wilde, Jeffrey Eugenides",The Picture of Dorian Gray,Fiction
96,E.L. James,"Fifty Shades Freed (Fifty Shades, #3)",Erotic;Drama
97,"Bram Stoker, Nina Auerbach, David J. Skal",Dracula,Horror;Fantasy
